"","gene","logFC","p_val","bonferroni","padj"
"191","SSB",0.16027617491359,2.80336933158274e-10,3.3135825499308e-07,2.761318791609e-09
"198","ZC3H15",0.149806161760746,7.57619563451035e-09,8.95506323999123e-06,5.70386193630015e-08
"201","ANKRD44",-0.228701710819076,3.24946412461886e-06,0.00384086659529949,1.38160668895665e-05
"203","HSPE1",0.173133759634805,1.06734872459165e-05,0.0126160619246733,4.04360959124145e-05
"205","CLK1",0.253441577575113,2.10245943370463e-06,0.00248510705063887,9.23831617337869e-06
"207","CFLAR",0.152113327418665,1.50700944265739e-05,0.0178128516122103,5.46406491172096e-05
"212","ARPC2",0.133044040901327,9.25040209911763e-06,0.010933975281157,3.52708880037324e-05
"213","SP110",0.395959816590266,2.54345110473164e-19,3.0063592057928e-16,1.76844659164283e-17
"214","SP100",0.512335463484525,3.7264334179819e-20,4.4046443000546e-17,3.73713589180319e-18
"217","ARL4C",0.421503048525233,6.28227186045962e-18,7.42564533906327e-15,3.84041314061373e-16
"218","LRRFIP1",0.149994538406835,2.22860066691425e-05,0.0263420598829264,7.77051913950633e-05
"220","PPP1R7",0.156155088521861,2.87548082891728e-06,0.00339881833978022,1.24044464955482e-05
"222","THUMPD3-AS1",-0.183544586267562,3.74403586181937e-05,0.044254503886705,0.000125366866534575
"223","ARPC4",0.209474395201938,2.42604863060632e-08,2.86758948137667e-05,1.61100532661611e-07
"224","BRK1",0.205444760128193,1.96636292026327e-06,0.00232424097175118,8.7050223661093e-06
"227","SATB1",-0.329349616770457,3.39989939884583e-09,4.01868108943578e-06,2.83005710523646e-08
"229","CMTM6",0.330355003601115,5.23604760272812e-09,6.18900826642463e-06,4.09868097114214e-08
"237","GPX1",0.160692902255418,7.61826982150213e-10,9.00479492901551e-07,6.92676533001193e-09
"238","RHOA",0.147123455334309,2.68163706272509e-11,3.16969500814105e-08,3.3720159661075e-10
"240","SELENOK",0.270127822478113,3.43740653168423e-06,0.00406301452045076,1.44591264072981e-05
"244","ARL6IP5",0.197573295009537,1.29470993707256e-08,1.53034714561976e-05,9.10920920011765e-08
"245","FOXP1",-0.38819072509934,4.25508107665353e-18,5.02950583260447e-15,2.79416990700248e-16
"253","COX17",0.280590616652597,9.06319815669077e-08,0.000107127002212085,5.20033991320801e-07
"261","RNF7",0.216315967775696,3.86764689941364e-09,4.57155863510692e-06,3.16804323116861e-08
"263","SERP1",0.0920544109818255,3.93721830558027e-05,0.0465379203719588,0.000130724495426851
"277","EIF4A2",0.138062614446556,4.59352878891501e-08,5.42955102849754e-05,2.78438514281925e-07
