"","p_value","bonferroni_pval"
"PSMA4",1.32816049750302e-07,0.000261116353809093
"TRA2B",1.45839861914308e-07,0.00028672116852353
"FPR1",1.46589277164571e-07,0.000288194518905547
"ENO1",1.51727091277983e-07,0.000298295461452515
"EIF3A",1.58921412338026e-07,0.000312439496656559
"SNHG8",1.62778355724123e-07,0.000320022247353626
"NDUFA4",1.70157610062007e-07,0.000334529861381906
"HSBP1",1.86295411726051e-07,0.000366256779453416
"PSMA3",1.98710007161864e-07,0.000390663874080224
"OSTC",2.31941236353824e-07,0.000455996470671619
"OAZ1",2.33893723169449e-07,0.000459835059751137
"LILRB2",2.34475833627243e-07,0.00046097948891116
"ARHGAP45",2.44745198796669e-07,0.000481169060834252
"PICALM",2.71300814965e-07,0.00053337740222119
"FKBP5",2.9608720163093e-07,0.000582107438406408
"DDX18",2.96487358983705e-07,0.000582894147761963
"PMAIP1",3.07235322175735e-07,0.000604024643397495
"LSM7",3.25754342815322e-07,0.000640433037974922
"CLEC4E",3.29655471347678e-07,0.000648102656669535
"HNRNPAB",3.481765915363e-07,0.000684515178960365
"ZNF106",3.53279393548979e-07,0.000694547287717292
"TIMM13",3.55958546191206e-07,0.00069981450181191
"UBA2",3.81987222453947e-07,0.000750986879344461
"CD53",3.97943403231569e-07,0.000782356730753265
"SEC63",4.04030391082138e-07,0.000794323748867483
"PPIB",4.08784662310117e-07,0.00080367064610169
"COX5B",4.63620430682417e-07,0.000911477766721631
"ANAPC5",4.63746504618572e-07,0.000911725628080112
"PLEKHB2",4.65722786957006e-07,0.000915610999157473
"SRSF11",4.77283039045779e-07,0.000938338454764002
"DNAJB1",4.79656579159716e-07,0.000943004834628002
"YBX1",5.05103519704399e-07,0.000993033519738848
"HELZ",5.42919692487217e-07,0.00106738011542987
"BTF3",6.41377079679189e-07,0.00126094733864928
"MAP3K2",6.56651271419545e-07,0.00129097639961083
"DDX5",6.59015553710476e-07,0.0012956245785948
"RSRC1",6.84161663048148e-07,0.00134506182955266
"CAPN2",7.04603154637794e-07,0.0013852498020179
"GLIPR2",7.17813801953473e-07,0.00141122193464053
"SPINT2",7.45358041276729e-07,0.00146537390915005
"POMP",7.60211085439545e-07,0.00149457499397414
"FAR1",7.65681214015223e-07,0.00150532926675393
"PKM",7.87300793183004e-07,0.00154783335939778
"CMPK1",8.04693500464308e-07,0.00158202742191283
"CCT6A",8.08906984887843e-07,0.0015903111322895
"FNBP1",9.05298528973052e-07,0.00177981690796102
"H3-3B",9.81394082677405e-07,0.00192942076654378
"NUMB",1.06485267881771e-06,0.00209350036655562
"ATG16L2",1.15932456896008e-06,0.00227923210257552
"ANP32E",1.24034407436241e-06,0.0024385164501965
"NHP2",1.27229150945061e-06,0.00250132510757989
"TOMM20",1.3216616976202e-06,0.00259838689752131
"HADHA",1.35650395440141e-06,0.00266688677435318
"DDX17",1.35698034178249e-06,0.00266782335194438
"VPS29",1.38076532109781e-06,0.0027145846212783
"HNRNPC",1.39777885610894e-06,0.00274803323111018
"SRI",1.44575697849675e-06,0.00284235821972462
"PSMA5",1.54197503003653e-06,0.00303152290905181
"UBE2F",1.61518456448243e-06,0.00317545285377246
"EIF3E",1.62399227479999e-06,0.00319276881225678
"AIMP1",1.70474094128863e-06,0.00335152069057345
"COX7C",1.71246769044461e-06,0.00336671147941411
"CACUL1",2.0403256080236e-06,0.0040112801453744
"CCDC69",2.20211854999602e-06,0.00432936506929218
"MAPK1",2.47560275862049e-06,0.00486703502344789
"TMX4",2.60559546623453e-06,0.00512260068661708
"HNRNPA3",2.60607126687383e-06,0.00512353611067396
"RNF181",2.62106444320397e-06,0.00515301269533901
"CCT4",2.6363450793178e-06,0.00518305442593879
"MCTS1",2.66619809462275e-06,0.00524174545402833
"FLNA",2.67435512787127e-06,0.00525778218139491
"IDH3G",2.71556563765948e-06,0.00533880204363854
"GCHFR",2.79329705868638e-06,0.00549162201737742
"TGFBR2",2.80994011247939e-06,0.00552434226113447
"SSR1",2.91184353422694e-06,0.00572468438829016
"PTMA",2.91736967155694e-06,0.00573554877428095
"NUFIP2",3.13037071896352e-06,0.00615430883348227
"REX1BD",3.1418887480318e-06,0.00617695327863051
"RNPS1",3.18900096540679e-06,0.00626957589798975
"SEC61G",3.23068070609835e-06,0.00635151826818936
"GRK2",3.23915466586811e-06,0.0063681780730967
"MZT2B",3.39745371977159e-06,0.00667939401307094
"WDR1",3.40039874050826e-06,0.00668518392383923
"ARGLU1",3.42100675480693e-06,0.00672569927995042
"SF1",3.43919325247091e-06,0.00676145393435782
"SHOC2",3.50281350485195e-06,0.00688653135053893
"ARL6IP4",3.57513840920825e-06,0.00702872211250342
"FAM107B",3.65680908211533e-06,0.00718928665543875
"EPC1",3.69074099387582e-06,0.00725599679395987
"SCAF11",3.71928976889205e-06,0.00731212368564176
"WTAP",3.7422464075686e-06,0.00735725643727988
"ZC3H11A",3.77323229317037e-06,0.00741817468837295
"CSTB",3.79646514143041e-06,0.0074638504680522
"ARHGEF6",3.94403640513894e-06,0.00775397557250316
"PSMB7",3.99561656287991e-06,0.00785538216262191
"HNRNPU",4.06396744321418e-06,0.00798975999335907
"LILRA2",4.16867065853465e-06,0.00819560651467912
"PRKCB",4.26443646129389e-06,0.00838388208290379
"SF3B1",4.29507486906406e-06,0.00844411719257994
"NUCB1",4.29996894823781e-06,0.00845373895223554
"CYLD",4.3247175843144e-06,0.00850239477076211
"EMP3",4.33865714908572e-06,0.00852979995510253
"KLF13",4.41481940251916e-06,0.00867953494535267
"CYB5R4",4.70498528564281e-06,0.00925000107157376
"EZR",4.81308481951634e-06,0.00946252475516912
"HIF1A",4.81549098451343e-06,0.0094672552755534
"COPZ1",4.84828175363215e-06,0.0095317219276408
"HSPA5",4.87490430106658e-06,0.00958406185589689
"JTB",4.88356452317393e-06,0.00960108785255995
"SRSF2",5.09972007744866e-06,0.0100260496722641
"LAPTM4A",5.10373740837886e-06,0.0100339477448728
"SMARCE1",5.26146776868451e-06,0.0103440456332337
