"","p_value","bonferroni_pval","fdr"
"NDUFS6",1.69119132327461e-08,1.99898814411059e-05,1.21150796612763e-07
"PIK3IP1",1.72353956811027e-08,2.03722376950634e-05,1.22724323464237e-07
"TMBIM6",1.81240758565179e-08,2.14226576624042e-05,1.28279387200025e-07
"PFDN2",2.13441603179832e-08,2.52287974958561e-05,1.5017141366581e-07
"PYM1",2.21949251448502e-08,2.62344015212129e-05,1.55233145095935e-07
"LEF1",2.25834366401977e-08,2.66936221087137e-05,1.57021306521845e-07
"ATP6V0E1",2.30974815282434e-08,2.73012231663837e-05,1.59123732429279e-07
"TAGLN2",2.31550608949543e-08,2.7369281977836e-05,1.59123732429279e-07
"VAMP8",2.3376953833871e-08,2.76315594316356e-05,1.59719996714656e-07
"ATP6V1F",2.56306924357165e-08,3.02954784590169e-05,1.7338772469367e-07
"SP110",2.56707714224977e-08,3.03428518213923e-05,1.7338772469367e-07
"SVIP",2.6316780120117e-08,3.11064341019783e-05,1.7674110285215e-07
"ATP5PD",2.68370649071888e-08,3.17214107202972e-05,1.79217009719193e-07
"MGAT4A",2.72660656320086e-08,3.22284895770342e-05,1.81058930208057e-07
"MATR3-ENSG00000015479",2.75634604866844e-08,3.2580010295261e-05,1.82011230699782e-07
"GSTO1",2.87087172924103e-08,3.3933703839629e-05,1.87637053115774e-07
"NSRP1",2.87805323870116e-08,3.40185892814477e-05,1.87637053115774e-07
"UQCRB",2.88916613088586e-08,3.41499436670709e-05,1.87637053115774e-07
"PGK1",3.09701775741332e-08,3.66067498926255e-05,2.00036884659156e-07
"TTC39C",3.42936836154565e-08,4.05351340334696e-05,2.20299641486248e-07
"ANXA2R",3.61169789134897e-08,4.26902690757448e-05,2.30758211220242e-07
"PABPC1",4.91841795663451e-08,5.81357002474199e-05,3.12557528211935e-07
"TMEM147",6.0241831839495e-08,7.1205845234283e-05,3.80779921038947e-07
"JUND",6.13631381419206e-08,7.25312292837501e-05,3.85804411083777e-07
"GYPC",6.32590087735563e-08,7.47721483703435e-05,3.9561983264732e-07
