"","p_value","bonferroni_pval","fdr"
"RBX1",9.03489539192188e-13,1.77626043405184e-09,1.09899998982042e-11
"CALM1",9.05584935660775e-13,1.78037998350908e-09,1.09899998982042e-11
"SLC38A2",1.05039769128823e-12,2.06508186107267e-09,1.26692138716114e-11
"MAP3K1",1.09536813613843e-12,2.15349375564815e-09,1.31310594856594e-11
"PYM1",1.17657307846723e-12,2.31314267226657e-09,1.40190464985853e-11
"DNAJC15",1.59567920495397e-12,3.13710531693951e-09,1.88982248008404e-11
"MBNL1",1.75154534881227e-12,3.44353815576493e-09,2.06199889566762e-11
"EIF4EBP2",2.19270930687393e-12,4.31086649731415e-09,2.56599196268699e-11
"DHX15",2.55570222807223e-12,5.02451058039001e-09,2.97308318366273e-11
"CPEB4",2.80943990938076e-12,5.52335886184258e-09,3.24903462461328e-11
"ILF3",2.90574744949862e-12,5.71269948571428e-09,3.34075993316624e-11
"TLE5",2.93531771935077e-12,5.7708346362436e-09,3.3551364164207e-11
"FUS",3.3317128318137e-12,6.55014742734573e-09,3.78621238574898e-11
"CD4",3.41903231741607e-12,6.72181753603999e-09,3.86311352645976e-11
"STRAP",4.12367464183925e-12,8.10714434585596e-09,4.60771499428328e-11
"ATP5PD",4.12491271105726e-12,8.10957838993858e-09,4.60771499428328e-11
"EIF3L",5.19186391892795e-12,1.02072044646124e-08,5.76678218339681e-11
"EIF4G2",5.28383031841589e-12,1.03880104060056e-08,5.83596090225035e-11
"CHP1",5.4565807281944e-12,1.07276377116302e-08,5.99309369364815e-11
"CYBA",5.57124187860252e-12,1.09530615333326e-08,6.08503418518476e-11
"STT3B",6.13282284459697e-12,1.20571297124777e-08,6.66139763120312e-11
"NHERF1",6.30663413078624e-12,1.23988427011258e-08,6.8123354382699e-11
"WDR74",6.34108537743333e-12,1.24665738520339e-08,6.8123354382699e-11
"NAPA",6.65230930997187e-12,1.30784401034047e-08,7.10784788228516e-11
"NUCKS1",7.70169463345446e-12,1.51415316493715e-08,8.18461170236296e-11
"EIF4A2",7.98091672304416e-12,1.56904822775048e-08,8.43574315994883e-11
"CAPG",9.02122979399813e-12,1.77357377750003e-08,9.48435175133707e-11
"GSTK1",9.6564783404597e-12,1.89846364173438e-08,1.00982108602892e-10
"VAMP2",9.76486928960508e-12,1.91977330233636e-08,1.01575307001924e-10
"ISG20",1.13341382948767e-11,2.22829158877277e-08,1.17230157807941e-10
"RNF213",1.13890946802221e-11,2.23909601413167e-08,1.17230157807941e-10
"REEP5",1.27201103922937e-11,2.50077370312494e-08,1.30248630371091e-10
"ATP5ME",1.37690804452664e-11,2.70700121553938e-08,1.40247571436746e-10
"SFPQ",1.38392822272272e-11,2.72080288587287e-08,1.40247571436746e-10
"EIF1",1.50037352210244e-11,2.94973434445339e-08,1.51268427920687e-10
"BIRC6",1.52655393942654e-11,3.00120504491259e-08,1.53122706373091e-10
"NAP1L1",1.57337152642412e-11,3.09324842094982e-08,1.57017686342631e-10
"UBL3",1.6359053000239e-11,3.21618981984698e-08,1.62433829285201e-10
"TMEM87A",2.02542762626754e-11,3.98199071324198e-08,2.00100035841305e-10
"ATP6V0E1",2.06096908175068e-11,4.05186521472183e-08,2.02593260736091e-10
"G3BP2",2.41977626028335e-11,4.75728012771707e-08,2.36680603369008e-10
"RNF44",2.50187357763635e-11,4.91868345363306e-08,2.43499180872924e-10
"MT-ND5",2.82651162763059e-11,5.55692185992174e-08,2.73739993099593e-10
"PEBP1",3.05996487489185e-11,6.01589094403737e-08,2.94896614903793e-10
"LGALS3",3.22538723428446e-11,6.34111130260325e-08,3.09322502566012e-10
"WASF2",4.0065680435762e-11,7.8769127736708e-08,3.82374406488874e-10
"CTSA",4.13156177562598e-11,8.12265045088067e-08,3.92398572506312e-10
"PCMT1",4.15365114321979e-11,8.1660781475701e-08,3.9259991094087e-10
"ARF5",4.80269608120375e-11,9.44210049564657e-08,4.51775143332372e-10
"TMEM256",4.84288167084225e-11,9.52110536487587e-08,4.53385969755994e-10
"RBBP4",5.95544916492122e-11,1.17084130582351e-07,5.54901092807352e-10
"LTA4H",7.71318039283305e-11,1.51641126523098e-07,7.15288332656122e-10
"TRA2A",8.0497673854948e-11,1.58258426798828e-07,7.42997308914684e-10
"GAS7",8.25263244217039e-11,1.6224675381307e-07,7.58162400995653e-10
"NPC2",8.38448157928192e-11,1.64838907848682e-07,7.66692594645035e-10
"HNRNPD",8.80771488955343e-11,1.73159674728621e-07,8.00429314458487e-10
"SBDS",8.86072945020121e-11,1.74201940990956e-07,8.00429314458487e-10
"LENG8",8.91000579700913e-11,1.751707139692e-07,8.00429314458487e-10
"CPPED1",8.91627771446636e-11,1.75294019866409e-07,8.00429314458487e-10
"ELOVL5",9.06825684486645e-11,1.78281929570074e-07,8.10372407136702e-10
"CHMP2A",9.68331389657546e-11,1.90373951206674e-07,8.61420593695356e-10
"LGALS1",1.04539929933235e-10,2.0552550224874e-07,9.2579055067e-10
"S100A4",1.13704038167941e-10,2.23542139038172e-07,1.0024311167631e-09
"CTSD",1.16214924568796e-10,2.28478541702252e-07,1.0199934897422e-09
"SGK1",1.30925595205079e-10,2.57399720173185e-07,1.14399875632527e-09
"SPN",1.39586569289064e-10,2.744271952223e-07,1.21427962487743e-09
"PAPOLA",1.40615263126015e-10,2.76449607305745e-07,1.21783967976099e-09
"CYSLTR1",1.41661245185953e-10,2.78506008035584e-07,1.22151757910344e-09
"SDHB",1.42973109020153e-10,2.81085132333621e-07,1.22744599272324e-09
"CNOT7",1.56293305340207e-10,3.07272638298848e-07,1.33596799260369e-09
"ASH1L",1.60802104424543e-10,3.16136937298651e-07,1.36855817012403e-09
"LY96",1.71551101889965e-10,3.37269466315671e-07,1.45374769963651e-09
"DBI",1.81529507030369e-10,3.56887010821706e-07,1.53170390910604e-09
"SIVA1",1.86107622075438e-10,3.65887585000312e-07,1.56362215812099e-09
"SYNCRIP",1.90034011944324e-10,3.73606867482541e-07,1.58981645737251e-09
"S100A11",2.13191066118084e-10,4.19133635988153e-07,1.77598998300065e-09
"RBMX",2.1542242112902e-10,4.23520479939653e-07,1.78700624447111e-09
"LDHB",2.32384976058945e-10,4.56868862931886e-07,1.91961707114238e-09
"IVNS1ABP",2.39108278456443e-10,4.70086875445366e-07,1.96689069224003e-09
"NAMPT",2.46149060195062e-10,4.83929052343491e-07,2.01637105143121e-09
"CCNY",2.48918489489905e-10,4.89373750337153e-07,2.03059647442802e-09
"SNX6",2.58222477872032e-10,5.07665391496414e-07,2.09779087395213e-09
"PPBP",2.63855309428611e-10,5.18739538336649e-07,2.13473061043888e-09
