"","p_value","bonferroni_pval","fdr"
"DRAP1",2.40289347020397e-14,2.6648088584562e-11,7.83767311310646e-13
"SRSF6",2.83865046116135e-14,3.14806336142794e-11,8.99446674693698e-13
"HNRNPA1",3.13551539316278e-14,3.47728657101752e-11,9.65912936393755e-13
"PDCD4",3.24831707013068e-14,3.60238363077492e-11,9.73617197506735e-13
"FBL",3.4584525507502e-14,3.83542387878197e-11,1.00932207336368e-12
"PLAAT4",4.48642748437526e-14,4.97544808017217e-11,1.27575591799286e-12
"ST13",4.69896927501119e-14,5.21115692598741e-11,1.30278923149685e-12
"PFDN5",4.96968452388954e-14,5.51138013699349e-11,1.34423905780329e-12
"PSMD8",8.34669365331555e-14,9.25648326152695e-11,2.20392458607784e-12
"HNRNPH1",1.31807379781406e-13,1.46174384177579e-10,3.39940428319952e-12
"B2M",1.99383166657444e-13,2.21115931823105e-10,5.02536208688876e-12
"PSMA7",2.58319227558201e-13,2.86476023362045e-10,6.36613385248989e-12
"SVIP",2.64690910117399e-13,2.93542219320196e-10,6.3813525939173e-12
"RSL1D1",5.06311312766625e-13,5.61499245858187e-10,1.1875380495439e-11
"TMEM50A",5.1399302414885e-13,5.70018263781074e-10,1.1875380495439e-11
"LGALS1",5.42438454057454e-13,6.01564245549717e-10,1.22768213377493e-11
"ATM",6.28788473970246e-13,6.97326417633003e-10,1.38417141335975e-11
"MYL6",6.3654411254596e-13,7.0592742081347e-10,1.38417141335975e-11
"TTC3",6.61609912289824e-13,7.33725392729415e-10,1.41101037063349e-11
"CHCHD2",6.78635295265959e-13,7.52606542449949e-10,1.42001234424519e-11
"SORL1",1.08277637918752e-12,1.20079900451896e-09,2.2237018602203e-11
"COX8A",1.25817652052154e-12,1.39531776125838e-09,2.52458786541328e-11
"CSDE1",1.27481443158831e-12,1.41376920463144e-09,2.52458786541328e-11
"SET",1.34830112595524e-12,1.49526594868436e-09,2.62327359418308e-11
"KLF6",1.83702332460071e-12,2.03725886698219e-09,3.47702182112124e-11
"CFL1",1.84981323215647e-12,2.05144287446153e-09,3.47702182112124e-11
"ZC3HAV1",2.58473724436354e-12,2.86647360399916e-09,4.77745600666527e-11
"TYROBP",3.89286596080927e-12,4.31718835053748e-09,7.07735795170078e-11
"IL7R",4.23016845407825e-12,4.69125681557278e-09,7.48199147641317e-11
"EIF3L",4.27292894087177e-12,4.73867819542679e-09,7.48199147641317e-11
"DBI",4.31783096925557e-12,4.78847454490443e-09,7.48199147641317e-11
"CALM1",4.41567847520432e-12,4.8969874290016e-09,7.53382681384861e-11
"GSTK1",5.02261515845475e-12,5.57008021072632e-09,8.43951547079745e-11
"TLE4",5.10352722049598e-12,5.65981168753004e-09,8.44748013064186e-11
"HSD17B11",5.88522738368266e-12,6.52671716850407e-09,9.59811348309421e-11
"CD69",6.64993586049631e-12,7.37477886929041e-09,1.06880853178122e-10
"SEC62",1.34840622763631e-11,1.49538250644867e-08,2.1362607234981e-10
"ANP32E",1.55641902837094e-11,1.72606870246337e-08,2.43108267952587e-10
"EEF1A1",1.61697060534335e-11,1.79322040132578e-08,2.47976237605096e-10
"MDM4",1.6323052610615e-11,1.8102265345172e-08,2.47976237605096e-10
"UBC",1.66971331535107e-11,1.85171206672434e-08,2.48015178642709e-10
"CD99-ENSG00000002586",1.67728930551877e-11,1.86011383982032e-08,2.48015178642709e-10
"BCL11B",1.79908446949805e-11,1.99518467667333e-08,2.62524299562281e-10
"FOS",2.24882264793509e-11,2.49394431656002e-08,3.23888872280521e-10
"RBMX",2.43923566592551e-11,2.70511235351139e-08,3.46672628392789e-10
"CD8A",2.46953450342924e-11,2.73871376430303e-08,3.46672628392789e-10
"MT-ND2",2.51706626151739e-11,2.79142648402279e-08,3.48928310502848e-10
"PCBP2",2.65085198206384e-11,2.9397948481088e-08,3.62937635568988e-10
"DYNLRB1",3.00957917710421e-11,3.33762330740857e-08,4.07027232610802e-10
"TOMM7",3.62679204082554e-11,4.02211237327553e-08,4.79244390825503e-10
"MT-ND5",3.6299845653149e-11,4.02565288293423e-08,4.79244390825503e-10
"AAK1",3.75401026615582e-11,4.1631973851668e-08,4.89787927666683e-10
"IFI27L2",4.08468336098168e-11,4.52991384732868e-08,5.26734168294033e-10
"COX5A",4.48509215664412e-11,4.97396720171833e-08,5.71720368013602e-10
"PTMA",4.78721140240553e-11,5.30901744526773e-08,6.03297436962242e-10
"GZMM",4.91686982380312e-11,5.45280863459767e-08,6.12675127482884e-10
"METAP2",5.0384753076751e-11,5.58766911621169e-08,6.20852124023521e-10
"CD53",5.79799365185627e-11,6.42997495990861e-08,7.06590654935012e-10
"MT-ATP6",5.92886593759157e-11,6.57511232478905e-08,7.09556535602539e-10
"FOXP1",5.95029376113942e-11,6.59887578110361e-08,7.09556535602539e-10
"SNHG9",6.25821112735036e-11,6.94035614023155e-08,7.38335759599101e-10
"FAM107B",8.45197203226297e-11,9.37323698377963e-08,9.86656524608382e-10
"HLA-C",9.02537004387855e-11,1.00091353786613e-07,1.04261826861055e-09
"SUB1",9.83703187606939e-11,1.0909268350561e-07,1.12466684026402e-09
"EIF3E",1.02073722573287e-10,1.13199758333776e-07,1.15509957483445e-09
"SRGN",1.0571346997562e-10,1.17236238202962e-07,1.18420442629255e-09
"PABPC1",1.39749584345349e-10,1.54982289038992e-07,1.54982289038992e-09
"TNRC6B",1.62063050597171e-10,1.79727923112263e-07,1.76465459548138e-09
"HNRNPM",1.62303668835979e-10,1.79994768739101e-07,1.76465459548138e-09
"PTPRCAP",1.7853388096783e-10,1.97994073993324e-07,1.92227256304198e-09
"HNRNPDL",1.91858243177037e-10,2.12770791683334e-07,2.04587299695513e-09
"LDHA",1.97900860372319e-10,2.19472054152902e-07,2.09021003955145e-09
"TXN",2.04098438185086e-10,2.2634516794726e-07,2.13533177308736e-09
"TC2N",2.12245758586695e-10,2.35380546272644e-07,2.19981818946397e-09
"NOP10",2.16437760075332e-10,2.40029475923543e-07,2.22249514744021e-09
"HSP90AA1",2.66554747876573e-10,2.9560921539512e-07,2.71201115041394e-09
"PSMB9",2.77255337361562e-10,3.07476169133972e-07,2.79523790121793e-09
"EIF3M",3.4239670756954e-10,3.7971794869462e-07,3.42088242067225e-09
"ARGLU1",3.50324008910736e-10,3.88509325882006e-07,3.46883326680362e-09
"UFM1",3.6896407358658e-10,4.09181157607518e-07,3.62107219121697e-09
"ASH1L",4.00715209403418e-10,4.44393167228391e-07,3.89818567744203e-09
"CWF19L2",4.76449290396535e-10,5.28382263049758e-07,4.59462837434572e-09
"PCNP",5.24033241516553e-10,5.81152864841857e-07,5.00993849001601e-09
"HLA-DPB1",5.7878807802564e-10,6.41875978530434e-07,5.4861194746191e-09
"RAC2",5.88276580726024e-10,6.5239872802516e-07,5.52880277987424e-09
"NDUFB1",6.20470161859701e-10,6.88101409502408e-07,5.78236478573452e-09
"TRAM1",6.87562751145589e-10,7.62507091020459e-07,6.35422575850382e-09
"MORF4L1",7.96128024374308e-10,8.82905979031107e-07,7.29674362835626e-09
"TCF7",8.19652999189872e-10,9.08995176101568e-07,7.45078013198007e-09
"ARPC2",9.04146093181246e-10,1.002698017338e-06,8.15201640112196e-09
"EIF1AX",9.88206304306149e-10,1.09592079147552e-06,8.83807089899612e-09
"RSL24D1",1.03601244414451e-09,1.14893780055626e-06,9.19150240445009e-09
"CD3D",1.08867592509679e-09,1.20734160093234e-06,9.5820761978757e-09
"EEF2",1.18314985774612e-09,1.31211319224045e-06,1.03315999389012e-08
"ITGB2",1.28434187992746e-09,1.42433514483956e-06,1.1127618319059e-08
"EMP3",1.5278452465311e-09,1.69438037840299e-06,1.31347316155271e-08
"EEF1B2",1.73205651078935e-09,1.92085067046539e-06,1.47757743881953e-08
"CYTH1",1.78051944512529e-09,1.97459606464394e-06,1.50732524018622e-08
"EIF3H",1.87481865473785e-09,2.07917388810427e-06,1.57513173341233e-08
"TRA2A",1.93057517633204e-09,2.14100787055223e-06,1.60978035379867e-08
"BUD31",2.00581552652597e-09,2.2244494189173e-06,1.66003687978903e-08
"CST7",2.57809968678262e-09,2.85911255264193e-06,2.11786115010513e-08
"PSMA3-AS1",3.48646196114693e-09,3.86648631491195e-06,2.84300464331761e-08
"SEM1",4.09585291176582e-09,4.5423008791483e-06,3.31554808696956e-08
"SLC38A1",4.16237632883484e-09,4.61607534867784e-06,3.34498213672307e-08
"DCTN3",4.22816795524677e-09,4.68903826236867e-06,3.37340882184796e-08
"DNAJA1",4.2669397953094e-09,4.73203623299813e-06,3.38002588071295e-08
"TES",4.50180068765408e-09,4.99249696260837e-06,3.54077798766551e-08
"CLIC1",4.70455668391483e-09,5.21735336246155e-06,3.67419250877574e-08
"HNRNPD",4.77551301958303e-09,5.29604393871758e-06,3.70352722987243e-08
"PIP4K2A",5.37806415956992e-09,5.96427315296304e-06,4.14185635622433e-08
"CIAO2B",5.69195183241102e-09,6.31237458214382e-06,4.35336178078884e-08
"S100A10",6.1678942586422e-09,6.8401947328342e-06,4.68506488550288e-08
"C11orf58",6.39170988739164e-09,7.08840626511733e-06,4.8220450783111e-08
"UQCRB",7.51522514783831e-09,8.33438468895269e-06,5.63134100604911e-08
"S100A6",8.56490275556824e-09,9.49847715592518e-06,6.37481688317126e-08
"MATR3-ENSG00000015479",9.82011893469338e-09,1.0890511898575e-05,7.26034126571664e-08
"ANXA2R",1.03020496910808e-08,1.14249731074086e-05,7.56620735589971e-08
"COX4I1",1.15223777698479e-08,1.27783169467613e-05,8.40678746497455e-08
"SAT1",1.18865354747643e-08,1.31821678415136e-05,8.61579597484549e-08
"GZMB",1.30417002138682e-08,1.44632455371798e-05,9.39171788128561e-08
"PSMB8",1.33221015378178e-08,1.477421060544e-05,9.5317487777032e-08
"RHOA",1.36157309743217e-08,1.50998456505228e-05,9.67938823751461e-08
"NSD3",1.40483906120239e-08,1.55796651887345e-05,9.92335362339774e-08
"SF3B5",1.46981556093748e-08,1.63002545707967e-05,1.03166168169599e-07
"UXT",1.52203029959605e-08,1.68793160225202e-05,1.06159220267423e-07
"ENO1",1.54557203253387e-08,1.71403938408006e-05,1.07127461505004e-07
"TMSB10",1.70610443225964e-08,1.89206981537594e-05,1.17519864309065e-07
"SMAP2",1.77826740810639e-08,1.97209855558999e-05,1.21734478740123e-07
"NPM1",1.91374635167647e-08,2.1223447040092e-05,1.30205196564982e-07
"PIK3IP1",1.92629488015595e-08,2.13626102209295e-05,1.30259818420302e-07
"COMMD6",2.06159039430216e-08,2.2863037472811e-05,1.38563863471582e-07
"BNIP2",2.10027916252516e-08,2.3292095912404e-05,1.40313830797615e-07
"TSC22D3",2.1215680777355e-08,2.35281899820867e-05,1.40887365162196e-07
"TAGLN2",2.27809275950956e-08,2.5264048702961e-05,1.5038124227953e-07
"NDUFS6",2.38843071371595e-08,2.64876966151099e-05,1.56731932633786e-07
"PPIA",2.41057321913597e-08,2.67332570002179e-05,1.57254452942458e-07
"CD44",2.44068702113534e-08,2.70672190643909e-05,1.58287830785912e-07
"NONO",2.49521049819671e-08,2.76718844250015e-05,1.60883048982567e-07
"CYBA",2.52519145586447e-08,2.8004373245537e-05,1.61874989858595e-07
"YWHAB",2.70685152572499e-08,3.00189834202902e-05,1.72522893220059e-07
"PPP1R2",2.91010733429743e-08,3.22730903373585e-05,1.8441765907062e-07
"COX7C",3.05295909735784e-08,3.38573163896984e-05,1.92252144417554e-07
"PNISR",3.06840663317466e-08,3.4028629561907e-05,1.92252144417554e-07
"SBDS",3.98118757864299e-08,4.41513702471507e-05,2.48041405882869e-07
"MAP1LC3B",4.14696529354697e-08,4.59898451054359e-05,2.56926508968916e-07
"MYL12A",4.21074038551218e-08,4.669711087533e-05,2.59236018912517e-07
"BRWD1",4.23099363599329e-08,4.69217194231656e-05,2.59236018912517e-07
"C12orf75",4.60716147069631e-08,5.1093420710022e-05,2.80733080824297e-07
"PHPT1",4.82749552230831e-08,5.35369253423991e-05,2.92551504603274e-07
"IFITM1",5.68197966800692e-08,6.30131545181967e-05,3.42462796294547e-07
"ARL6IP5",6.32942846927089e-08,7.01933617242142e-05,3.79423576887644e-07
"NOSIP",6.44478214073929e-08,7.14726339407988e-05,3.84261472799993e-07
"CDC42SE1",6.74242969720205e-08,7.47735453419707e-05,3.98295907976732e-07
"KRTCAP2",6.7519955545199e-08,7.48796306996257e-05,3.98295907976732e-07
"CLK1",7.48728817950733e-08,8.30340259107363e-05,4.37754238860353e-07
"ATP6V1F",7.49984719418099e-08,8.31733053834671e-05,4.37754238860353e-07
"CHD2",7.73878570435233e-08,8.58231334612673e-05,4.49335777284122e-07
"LAMTOR5",8.23852072814862e-08,9.13651948751681e-05,4.75860389974834e-07
"TRAPPC1",8.56377806900895e-08,9.49722987853093e-05,4.92084449664815e-07
"BLOC1S1",9.23349729920803e-08,0.000102399485048217,5.27832397155758e-07
"IL2RG",9.42828301745484e-08,0.000104559658663574,5.36203377761919e-07
"ATP6V1G1",1.02080974461929e-07,0.000113207800678279,5.77590819787139e-07
"ANAPC16",1.05305778595426e-07,0.000116784108462327,5.92812733311305e-07
"IL32",1.06538146559303e-07,0.000118150804534268,5.96721235021553e-07
"HLA-DPA1",1.08752318605794e-07,0.000120606321333826,6.0606191625038e-07
"VIM",1.2625121776451e-07,0.000140012600500842,7.0006300250421e-07
"PPP1CA",1.33299015618844e-07,0.000147828608321298,7.34377795651413e-07
"RICTOR",1.33764034915767e-07,0.000148344314721585,7.34377795651413e-07
"COX5B",1.41138368342569e-07,0.000156522450491909,7.68871613851747e-07
"CCNI",1.4143355205208e-07,0.000156849809225756,7.68871613851747e-07
"CORO1A",1.4233281608062e-07,0.000157847093033408,7.69985819675161e-07
"PTGES3",1.48674752786909e-07,0.000164880300840682,8.00389809906224e-07
"GSTP1",1.51402197276225e-07,0.000167905036779333,8.11135443378422e-07
"RNF7",1.6914084645953e-07,0.000187577198723618,9.01813455402012e-07
"NDUFA12",1.83709134883008e-07,0.000203733430585256,9.74801103278737e-07
"CHURC1",1.8544639915608e-07,0.000205660056664093,9.79333603162346e-07
"RHOG",2.0725056026884e-07,0.000229840871338143,1.08929322909073e-06
"SNRPF",2.19960308116181e-07,0.000243935981700844,1.15064142311719e-06
"CBX3",2.25116290557621e-07,0.000249653966228401,1.17208434849015e-06
"SMIM27",2.31513756829694e-07,0.00025674875632413,1.1997605435707e-06
"ANXA1",2.34750261224183e-07,0.000260338039697619,1.21087460324474e-06
"TPT1",2.3623736754668e-07,0.000261987240609268,1.21290389170958e-06
"U2SURP",2.5336764371245e-07,0.000280984716877107,1.29486044643828e-06
"OCIAD1",2.63747386074344e-07,0.000292495851156448,1.34172408787361e-06
"S100A4",2.78528449975247e-07,0.000308888051022549,1.41044772156415e-06
"CD52",2.93671050882119e-07,0.00032568119542827,1.4803690701285e-06
"BIRC2",2.95893906915827e-07,0.000328146342769652,1.48266322682097e-06
"SON",2.96800032781113e-07,0.000329151236354255,1.48266322682097e-06
"POMP",3.33441652595194e-07,0.00036978679272807,1.6582367386909e-06
"SNHG32",3.53311453937219e-07,0.000391822402416376,1.74920715364454e-06
"PRKACB",3.80354087796252e-07,0.000421812683366043,1.87472303718241e-06
"MGAT4A",3.90726136796257e-07,0.000433315285707049,1.91732427304004e-06
"DYNLL1",4.0543620634729e-07,0.000449628752839144,1.98074340457773e-06
"HNRNPU",4.12117663886825e-07,0.000457038489250489,2.00455477741443e-06
"HMGN3",4.19804601823801e-07,0.000465563303422595,2.03302752586286e-06
"ANKRD49",4.33159406991345e-07,0.000480373782353402,2.0885816624061e-06
"NDUFA6",4.35863195153198e-07,0.000483372283424896,2.09252070746708e-06
"YWHAQ",5.16343213262933e-07,0.000572624623508592,2.46820958408876e-06
"ZFAS1",5.68538566662975e-07,0.000630509270429239,2.70604837094094e-06
"TOMM5",6.07822034979435e-07,0.000674074636792194,2.88066084099228e-06
"BST2",6.45649109482499e-07,0.000716024862416091,3.04691430815358e-06
"VAMP8",6.50792678062953e-07,0.000721729079971815,3.05817406767718e-06
"NAP1L1",7.60960727959178e-07,0.000843905447306728,3.56078247808746e-06
"TMA7",8.15800197299915e-07,0.000904722418805606,3.80135470086389e-06
"FAM133B",8.35090526327146e-07,0.000926115393696805,3.87495980626278e-06
"PSIP1",8.64471900673404e-07,0.000958699337846805,3.99458057436169e-06
"SNHG8",8.70402050100333e-07,0.000965275873561269,4.00529408116709e-06
"CMPK1",9.23613014318284e-07,0.00102428683287898,4.23259021850817e-06
"CXCR4",9.94117483101443e-07,0.0011024762887595,4.53693945991564e-06
"GNG5",1.03137219379326e-06,0.00114379176291673,4.68767115949478e-06
"EIF3D",1.08821611696923e-06,0.00120683167371888,4.92584356619951e-06
"SUPT4H1",1.10420095600388e-06,0.0012245588602083,4.97788154556219e-06
"GUK1",1.3390950137842e-06,0.00148505637028668,6.00638700080064e-06
"HLA-DRB1",1.3431776160492e-06,0.00148958397619856,6.00638700080064e-06
"TOMM20",1.36542387222608e-06,0.00151425507429873,6.06750105278627e-06
"GZMK",1.36778653128635e-06,0.00151687526319657,6.06750105278627e-06
"CLEC2B",1.38533795789798e-06,0.00153633979530886,6.12087567852136e-06
"MT-CO1",1.4182954566426e-06,0.00157288966141664,6.24162564054224e-06
"GZMA",1.46289015476524e-06,0.00162234518163466,6.41243154796306e-06
"COX14",1.63932782783007e-06,0.00181801456106354,7.15753764198245e-06
"NEDD8",1.69144531534195e-06,0.00187581285471422,7.35612884201655e-06
"ATP5MJ",1.72990915275343e-06,0.00191846925040356,7.4940205093889e-06
"CSNK1A1",1.7853662394248e-06,0.00197997115952211,7.70416793588368e-06
"ATP6V0E1",1.89108321542135e-06,0.00209721128590227,8.12872591434989e-06
