"gene","selected_n","selection_frequency"
"RBX1",8,0.4
"SLC25A6-ENSG00000169100",8,0.4
"SMAP2",8,0.4
"TMEM123",8,0.4
"TMEM243",8,0.4
"TOMM5",8,0.4
"C4orf48",7,0.35
"CALM3",7,0.35
"CNBP",7,0.35
"CRIP1",7,0.35
"ERP29",7,0.35
"GPBP1",7,0.35
"HIGD2A",7,0.35
"IFT25",7,0.35
"IQGAP1",7,0.35
"KRTCAP2",7,0.35
"MAX",7,0.35
"MCUB",7,0.35
"OGA",7,0.35
"PIP4K2A",7,0.35
"PPP1R12A",7,0.35
"RICTOR",7,0.35
"SELENOK",7,0.35
"TPT1",7,0.35
"TRAPPC6A",7,0.35
"ZFAS1",7,0.35
"ALDOA",6,0.3
"ARHGDIA",6,0.3
"ELOC",6,0.3
"GNG2",6,0.3
"KRT10",6,0.3
"LSM3",6,0.3
"MDH2",6,0.3
"NUCKS1",6,0.3
"PAXX",6,0.3
"PPP2R5C",6,0.3
"RACK1",6,0.3
"RALY",6,0.3
"REX1BD",6,0.3
"SEC61B",6,0.3
"TMEM256",6,0.3
"TPI1",6,0.3
"YTHDC1",6,0.3
"ARID4B",5,0.25
"ATP6V0B",5,0.25
"DDX3X",5,0.25
"EIF6",5,0.25
"FAM133B",5,0.25
"LSM8",5,0.25
"PFDN2",5,0.25
"PKM",5,0.25
"SCAND1",5,0.25
"SFPQ",5,0.25
"SYF2",5,0.25
"TNFAIP3",5,0.25
"TOMM22",5,0.25
"UFC1",5,0.25
"VAMP5",5,0.25
"WAS",5,0.25
"ZFP36L1",5,0.25
"ARL5A",4,0.2
"ATP5F1C",4,0.2
"C1QBP",4,0.2
"DDX17",4,0.2
"EIF3F",4,0.2
"GTF3C6",4,0.2
"H2AZ1",4,0.2
"HMGN3",4,0.2
"KRAS",4,0.2
"LDHB",4,0.2
"MT-ND1",4,0.2
"N4BP2L2",4,0.2
"NDUFB2",4,0.2
"NDUFS7",4,0.2
"PA2G4",4,0.2
"PPA1",4,0.2
"PPDPF",4,0.2
"PSMB1",4,0.2
"RBBP4",4,0.2
"RGS10",4,0.2
"SRP14",4,0.2
"SRSF7",4,0.2
"TMEM59",4,0.2
"TOMM20",4,0.2
"ACTR2",3,0.15
"ARHGEF1",3,0.15
"ARL6IP4",3,0.15
"ATP5IF1",3,0.15
"AURKAIP1",3,0.15
"CELF2",3,0.15
"COX17",3,0.15
"CREBRF",3,0.15
"CSTB",3,0.15
"DDIT4",3,0.15
"DYNLT1",3,0.15
"EPB41L4A-AS1",3,0.15
"ERGIC3",3,0.15
"FNBP1",3,0.15
"HSPA5",3,0.15
"JUND",3,0.15
"NAA38",3,0.15
"NACA",3,0.15
"NOP53",3,0.15
"PGK1",3,0.15
"PSIP1",3,0.15
"PSMD7",3,0.15
"PTRHD1",3,0.15
"RAB18",3,0.15
"RAN",3,0.15
"SELENOF",3,0.15
"SMARCE1",3,0.15
"SNRPC",3,0.15
"SNRPD2",3,0.15
"SUCLG2",3,0.15
"TMA7",3,0.15
"TRMT112",3,0.15
"TUBA1A",3,0.15
"TUBB",3,0.15
"U2SURP",3,0.15
"UBL5",3,0.15
"ZFP36L2",3,0.15
"ANP32B",2,0.1
"ATP5ME",2,0.1
"ATP5MF",2,0.1
"BTG1",2,0.1
"CAPZA2",2,0.1
"CSNK1A1",2,0.1
"CTSW",2,0.1
"DUSP2",2,0.1
"EMC6",2,0.1
"EVI2B",2,0.1
"FAU",2,0.1
"FUS",2,0.1
"HERPUD1",2,0.1
"HINT1",2,0.1
"IKZF1",2,0.1
"KHDRBS1",2,0.1
"KLF3",2,0.1
"MCL1",2,0.1
"NAP1L4",2,0.1
"NDUFB10",2,0.1
"NDUFB3",2,0.1
"NDUFC2",2,0.1
"PAIP2",2,0.1
"POLR2K",2,0.1
"POLR3GL",2,0.1
"PRKACB",2,0.1
"PSMA4",2,0.1
"PSMC5",2,0.1
"RAD21",2,0.1
"RPF1",2,0.1
"SDHC",2,0.1
"SELENOS",2,0.1
"SELL",2,0.1
"SEPTIN6",2,0.1
"SF1",2,0.1
"SF3B2",2,0.1
"SMIM26",2,0.1
"TRA2B",2,0.1
"UQCRFS1",2,0.1
"WTAP",2,0.1
"ZBTB8OS",2,0.1
"AHNAK",1,0.05
"ALKBH7",1,0.05
"ANAPC5",1,0.05
"ARPC1B",1,0.05
"ARPP19",1,0.05
"ATP5MK",1,0.05
"ATP5PD",1,0.05
"ATP5PF",1,0.05
"BCAP31",1,0.05
"CACYBP",1,0.05
"CASP4",1,0.05
"CCDC107",1,0.05
"CD247",1,0.05
"CD48",1,0.05
"CD7",1,0.05
"CD74",1,0.05
"CDC26",1,0.05
"CDC37",1,0.05
"COPS6",1,0.05
"COX6B1",1,0.05
"CWC15",1,0.05
"DDX24",1,0.05
"DDX5",1,0.05
"DPM3",1,0.05
"EAPP",1,0.05
"ECH1",1,0.05
"EIF3J",1,0.05
"EPC1",1,0.05
"FAM177A1",1,0.05
"FOS",1,0.05
"GHITM",1,0.05
"HNRNPH3",1,0.05
